lemma	form	tags	attested_count	pron_exact	ortho_exact	onomastic	case_evidence
pursuit	pursuits	N;PL/V;PRS;3;SG	21	yes	yes	no	common (8/355 medial-cap, 3 initial)
sensation	sensations	N;PL/V;PRS;3;SG	39	yes	yes	no	common (0/334 medial-cap, 0 initial)
coat	coating	V;V.PTCP;PRS	39	yes	yes	no	common (10/1568 medial-cap, 0 initial)
color	colors	N;PL/V;PRS;3;SG	92	yes	yes	no	common (3/270 medial-cap, 1 initial)
cann	canning	V;V.PTCP;PRS	9	yes	yes	no	proper (1/1 medial-cap, 0 initial)
stuff	stuffed	V;PST/V;V.PTCP;PST	21	yes	yes	no	common (11/324 medial-cap, 9 initial)
precaution	precautions	N;PL/V;PRS;3;SG	11	yes	yes	no	common (0/149 medial-cap, 0 initial)
expansion	expansions	N;PL/V;PRS;3;SG	6	yes	yes	no	common (11/232 medial-cap, 3 initial)
movement	movements	N;PL/V;PRS;3;SG	131	yes	yes	no	common (12/919 medial-cap, 2 initial)
torment	torments	N;PL/V;PRS;3;SG	13	yes	yes	no	common (3/124 medial-cap, 0 initial)
decision	decisions	N;PL/V;PRS;3;SG	175	yes	yes	no	common (24/821 medial-cap, 5 initial)
creation	creations	N;PL/V;PRS;3;SG	18	yes	yes	no	common (12/239 medial-cap, 3 initial)
warn	warns	N;PL/V;PRS;3;SG	32	yes	yes	no	common (4/351 medial-cap, 6 initial)
fever	fevers	N;PL/V;PRS;3;SG	5	yes	yes	no	common (7/490 medial-cap, 3 initial)
cha	chas	N;PL/V;PRS;3;SG	5	yes	yes	no	proper (1/1 medial-cap, 0 initial)
paul	pauling	V;V.PTCP;PRS	7	yes	yes	yes	proper (1286/1286 medial-cap, 176 initial)
civilization	civilizations	N;PL/V;PRS;3;SG	9	yes	yes	no	common (4/166 medial-cap, 5 initial)
acceptance	acceptances	N;PL/V;PRS;3;SG	32	yes	yes	no	common (5/172 medial-cap, 3 initial)
everlast	everlasting	V;V.PTCP;PRS	126	yes	yes	no	no-census
rank	ranking	V;V.PTCP;PRS	15	yes	yes	no	common (20/505 medial-cap, 12 initial)
chill	chilling	V;V.PTCP;PRS	12	yes	yes	no	common (1/173 medial-cap, 0 initial)
conversion	conversions	N;PL/V;PRS;3;SG	9	yes	yes	no	common (6/107 medial-cap, 0 initial)
growth	growths	N;PL/V;PRS;3;SG	14	yes	yes	no	common (124/1442 medial-cap, 26 initial)
alm	alms	N;PL/V;PRS;3;SG	15	yes	yes	no	no-census
condemn	condemns	N;PL/V;PRS;3;SG	6	yes	yes	no	common (1/132 medial-cap, 1 initial)
lloyd	lloyds	N;PL/V;PRS;3;SG	56	yes	yes	no	proper (54/54 medial-cap, 1 initial)
income	incomes	N;PL/V;PRS;3;SG	59	yes	yes	no	common (77/1099 medial-cap, 7 initial)
aborigine	aborigines	N;PL/V;PRS;3;SG	12	yes	yes	no	common (0/7 medial-cap, 0 initial)
reappear	reappeared	V;PST/V;V.PTCP;PST	14	yes	yes	no	common (0/30 medial-cap, 0 initial)
envision	envisioned	V;PST/V;V.PTCP;PST	8	yes	yes	no	common (0/5 medial-cap, 0 initial)
loma	lomas	N;PL/V;PRS;3;SG	6	yes	yes	no	proper (1/1 medial-cap, 0 initial)
repent	repented	V;PST/V;V.PTCP;PST	35	yes	yes	no	common (6/196 medial-cap, 4 initial)
sight	sights	N;PL/V;PRS;3;SG	61	yes	yes	no	common (13/2689 medial-cap, 7 initial)
expect	expecting	V;V.PTCP;PRS	87	yes	yes	no	common (16/1490 medial-cap, 3 initial)
por	poring	V;V.PTCP;PRS	7	yes	yes	no	dual (0/0 medial-cap, 16 initial)
straighten	straightened	V;PST/V;V.PTCP;PST	28	yes	yes	no	common (0/10 medial-cap, 1 initial)
dispell	dispelled	V;PST/V;V.PTCP;PST	11	yes	yes	no	common (0/3 medial-cap, 0 initial)
observation	observations	N;PL/V;PRS;3;SG	58	yes	yes	no	common (1/510 medial-cap, 0 initial)
perturbation	perturbations	N;PL/V;PRS;3;SG	7	yes	yes	no	common (0/52 medial-cap, 0 initial)
texan	texans	N;PL/V;PRS;3;SG	9	yes	yes	no	proper (7/7 medial-cap, 0 initial)
awaken	awakening	V;V.PTCP;PRS	10	yes	yes	no	common (0/100 medial-cap, 1 initial)
effect	effects	N;PL/V;PRS;3;SG	232	yes	yes	no	common (15/2013 medial-cap, 2 initial)
initiative	initiatives	N;PL/V;PRS;3;SG	54	yes	yes	no	common (3/108 medial-cap, 0 initial)
play	playing	V;V.PTCP;PRS	226	yes	yes	no	common (28/1605 medial-cap, 16 initial)
patt	patting	V;V.PTCP;PRS	7	yes	yes	no	no-census
explorer	explorers	N;PL/V;PRS;3;SG	6	yes	yes	no	common (1/10 medial-cap, 0 initial)
amusement	amusements	N;PL/V;PRS;3;SG	29	yes	yes	no	common (0/310 medial-cap, 0 initial)
rumour	rumours	N;PL/V;PRS;3;SG	39	yes	yes	no	common (9/103 medial-cap, 4 initial)
hardwork	hardworking	V;V.PTCP;PRS	7	yes	yes	no	no-census
friendship	friendships	N;PL/V;PRS;3;SG	14	yes	yes	no	common (8/665 medial-cap, 3 initial)
plantation	plantations	N;PL/V;PRS;3;SG	31	yes	yes	no	common (6/90 medial-cap, 0 initial)
attain	attains	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/143 medial-cap, 0 initial)
herb	herbs	N;PL/V;PRS;3;SG	36	yes	yes	no	common (5/59 medial-cap, 2 initial)
deafen	deafening	V;V.PTCP;PRS	9	yes	yes	no	common (0/5 medial-cap, 0 initial)
recollect	recollected	V;PST/V;V.PTCP;PST	37	yes	yes	no	common (8/422 medial-cap, 21 initial)
prevent	prevents	N;PL/V;PRS;3;SG	33	yes	yes	no	common (4/889 medial-cap, 0 initial)
murder	murdered	V;PST/V;V.PTCP;PST	32	yes	yes	no	common (35/655 medial-cap, 24 initial)
condition	conditioning	V;V.PTCP;PRS	25	yes	yes	no	common (8/1338 medial-cap, 0 initial)
agreement	agreements	N;PL/V;PRS;3;SG	317	yes	yes	no	common (237/1787 medial-cap, 2 initial)
third	thirds	N;PL/V;PRS;3;SG	81	yes	yes	no	common (121/2012 medial-cap, 27 initial)
entrust	entrusted	V;PST/V;V.PTCP;PST	5	yes	yes	no	common (0/24 medial-cap, 2 initial)
begg	begging	V;V.PTCP;PRS	35	yes	yes	no	common (0/2 medial-cap, 0 initial)
falsehood	falsehoods	N;PL/V;PRS;3;SG	5	yes	yes	no	common (2/217 medial-cap, 0 initial)
passion	passions	N;PL/V;PRS;3;SG	43	yes	yes	no	common (15/953 medial-cap, 8 initial)
villar	villars	N;PL/V;PRS;3;SG	30	yes	yes	no	no-census
explain	explaining	V;V.PTCP;PRS	37	yes	yes	no	common (13/904 medial-cap, 19 initial)
enjoy	enjoys	N;PL/V;PRS;3;SG	32	yes	yes	no	common (2/486 medial-cap, 1 initial)
unaware	unawares	N;PL/V;PRS;3;SG	19	yes	yes	no	common (0/62 medial-cap, 0 initial)
catholic	catholics	N;PL/V;PRS;3;SG	48	yes	yes	no	proper (208/213 medial-cap, 4 initial)
afford	affording	V;V.PTCP;PRS	11	yes	yes	no	common (0/450 medial-cap, 0 initial)
gear	gearing	V;V.PTCP;PRS	6	yes	yes	no	common (6/63 medial-cap, 1 initial)
contend	contended	V;PST/V;V.PTCP;PST	27	yes	yes	no	common (0/82 medial-cap, 0 initial)
cole	coles	N;PL/V;PRS;3;SG	19	yes	yes	no	proper (65/65 medial-cap, 4 initial)
heaven	heavens	N;PL/V;PRS;3;SG	210	yes	yes	no	common (1103/2689 medial-cap, 105 initial)
mountain	mountains	N;PL/V;PRS;3;SG	313	yes	yes	no	common (33/462 medial-cap, 4 initial)
rigg	rigging	V;V.PTCP;PRS	45	yes	yes	no	proper (37/37 medial-cap, 1 initial)
making	makings	N;PL/V;PRS;3;SG	7	yes	yes	no	common (37/3747 medial-cap, 36 initial)
interpret	interpreted	V;PST/V;V.PTCP;PST	56	yes	yes	no	common (1/65 medial-cap, 0 initial)
water	watering	V;V.PTCP;PRS	25	yes	yes	no	common (52/3568 medial-cap, 31 initial)
head	headed	V;PST/V;V.PTCP;PST	180	yes	yes	no	common (126/10929 medial-cap, 4 initial)
harvest	harvests	N;PL/V;PRS;3;SG	18	yes	yes	no	common (15/303 medial-cap, 3 initial)
redeem	redeeming	V;V.PTCP;PRS	12	yes	yes	no	common (7/121 medial-cap, 1 initial)
cruzado	cruzados	N;PL/V;PRS;3;SG	9	yes	yes	no	proper (6/7 medial-cap, 0 initial)
liv	lived	V;PST/V;V.PTCP;PST	427	yes	yes	no	proper (20/23 medial-cap, 3 initial)
serv	serving	V;V.PTCP;PRS	90	yes	yes	no	common (1/4 medial-cap, 0 initial)
elephant	elephants	N;PL/V;PRS;3;SG	26	yes	yes	no	common (33/191 medial-cap, 0 initial)
offend	offended	V;PST/V;V.PTCP;PST	82	yes	yes	no	common (0/162 medial-cap, 1 initial)
scrawl	scrawled	V;PST/V;V.PTCP;PST	5	yes	yes	no	common (0/15 medial-cap, 0 initial)
abandon	abandoned	V;PST/V;V.PTCP;PST	78	yes	yes	no	common (2/198 medial-cap, 0 initial)
dinner	dinners	N;PL/V;PRS;3;SG	28	yes	yes	no	common (35/2678 medial-cap, 25 initial)
inflow	inflows	N;PL/V;PRS;3;SG	23	yes	yes	no	common (1/40 medial-cap, 1 initial)
new	news	N;PL/V;PRS;3;SG	642	yes	yes	no	common (1918/9390 medial-cap, 190 initial)
defraud	defrauded	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (1/14 medial-cap, 1 initial)
persuasion	persuasions	N;PL/V;PRS;3;SG	5	yes	yes	no	common (2/131 medial-cap, 1 initial)
discontent	discontented	V;PST/V;V.PTCP;PST	13	yes	yes	no	common (0/57 medial-cap, 1 initial)
reopen	reopening	V;V.PTCP;PRS	25	yes	yes	no	common (4/42 medial-cap, 0 initial)
contain	contained	V;PST/V;V.PTCP;PST	164	yes	yes	no	common (2/224 medial-cap, 0 initial)
delay	delays	N;PL/V;PRS;3;SG	47	yes	yes	no	common (9/573 medial-cap, 2 initial)
rain	rains	N;PL/V;PRS;3;SG	98	yes	yes	no	common (23/920 medial-cap, 18 initial)
protect	protecting	V;V.PTCP;PRS	52	yes	yes	no	common (2/296 medial-cap, 3 initial)
attend	attends	N;PL/V;PRS;3;SG	19	yes	yes	no	common (12/587 medial-cap, 14 initial)
distrust	distrusted	V;PST/V;V.PTCP;PST	8	yes	yes	no	common (3/169 medial-cap, 2 initial)
organization	organizations	N;PL/V;PRS;3;SG	103	yes	yes	no	common (137/318 medial-cap, 1 initial)
confront	confronts	N;PL/V;PRS;3;SG	11	yes	yes	no	common (3/44 medial-cap, 1 initial)
accept	accepts	N;PL/V;PRS;3;SG	52	yes	yes	no	common (12/898 medial-cap, 14 initial)
travel	traveled	V;PST/V;V.PTCP;PST	34	yes	yes	no	common (8/379 medial-cap, 5 initial)
operation	operations	N;PL/V;PRS;3;SG	1050	yes	yes	no	common (9/465 medial-cap, 2 initial)
laver	lavers	N;PL/V;PRS;3;SG	5	yes	yes	no	common (0/15 medial-cap, 0 initial)
murmur	murmuring	V;V.PTCP;PRS	22	yes	yes	no	common (1/192 medial-cap, 0 initial)
sway	swaying	V;V.PTCP;PRS	18	yes	yes	no	common (1/67 medial-cap, 2 initial)
meeting	meetings	N;PL/V;PRS;3;SG	166	yes	yes	no	common (77/2446 medial-cap, 21 initial)
orlean	orleans	N;PL/V;PRS;3;SG	67	yes	yes	no	no-census
craft	crafts	N;PL/V;PRS;3;SG	5	yes	yes	no	common (16/218 medial-cap, 1 initial)
reaffirm	reaffirmed	V;PST/V;V.PTCP;PST	61	yes	yes	no	common (0/7 medial-cap, 0 initial)
calm	calming	V;V.PTCP;PRS	5	yes	yes	no	common (10/933 medial-cap, 20 initial)
remind	reminded	V;PST/V;V.PTCP;PST	69	yes	yes	no	common (1/246 medial-cap, 1 initial)
color	colored	V;PST/V;V.PTCP;PST	47	yes	yes	no	common (3/270 medial-cap, 1 initial)
accord	accords	N;PL/V;PRS;3;SG	39	yes	yes	no	common (77/663 medial-cap, 2 initial)
humm	humming	V;V.PTCP;PRS	19	yes	yes	no	proper (16/16 medial-cap, 0 initial)
alloy	alloys	N;PL/V;PRS;3;SG	8	yes	yes	no	common (1/37 medial-cap, 1 initial)
forehead	foreheads	N;PL/V;PRS;3;SG	14	yes	yes	no	common (0/753 medial-cap, 2 initial)
possession	possessions	N;PL/V;PRS;3;SG	36	yes	yes	no	common (9/977 medial-cap, 1 initial)
ethiopian	ethiopians	N;PL/V;PRS;3;SG	14	yes	yes	no	proper (16/16 medial-cap, 0 initial)
owen	owens	N;PL/V;PRS;3;SG	25	yes	yes	no	proper (43/45 medial-cap, 6 initial)
cool	cooling	V;V.PTCP;PRS	54	yes	yes	no	common (7/537 medial-cap, 7 initial)
foot	footed	V;PST/V;V.PTCP;PST	13	yes	yes	no	common (15/1725 medial-cap, 1 initial)
rio	rios	N;PL/V;PRS;3;SG	5	yes	yes	no	proper (64/64 medial-cap, 10 initial)
imperfection	imperfections	N;PL/V;PRS;3;SG	7	yes	yes	no	common (0/18 medial-cap, 0 initial)
waterway	waterways	N;PL/V;PRS;3;SG	8	yes	yes	no	common (0/26 medial-cap, 0 initial)
hasten	hastened	V;PST/V;V.PTCP;PST	29	yes	yes	no	common (2/127 medial-cap, 6 initial)
punishment	punishments	N;PL/V;PRS;3;SG	5	yes	yes	no	common (3/390 medial-cap, 5 initial)
conform	conformed	V;PST/V;V.PTCP;PST	7	yes	yes	no	common (0/37 medial-cap, 0 initial)
sanction	sanctioned	V;PST/V;V.PTCP;PST	8	yes	yes	no	common (0/86 medial-cap, 1 initial)
retrain	retraining	V;V.PTCP;PRS	8	yes	yes	no	no-census
rubie	rubies	N;PL/V;PRS;3;SG	10	yes	yes	no	proper (1/1 medial-cap, 0 initial)
spann	spanned	V;PST/V;V.PTCP;PST	5	yes	yes	no	common (0/4 medial-cap, 0 initial)
chill	chilled	V;PST/V;V.PTCP;PST	19	yes	yes	no	common (1/173 medial-cap, 0 initial)
found	founding	V;V.PTCP;PRS	30	yes	yes	no	common (28/7597 medial-cap, 15 initial)
run	runs	N;PL/V;PRS;3;SG	151	yes	yes	no	common (29/2164 medial-cap, 66 initial)
len	lens	N;PL/V;PRS;3;SG	15	yes	yes	no	proper (6/11 medial-cap, 7 initial)
frustration	frustrations	N;PL/V;PRS;3;SG	10	yes	yes	no	common (0/29 medial-cap, 3 initial)
interpret	interprets	N;PL/V;PRS;3;SG	5	yes	yes	no	common (1/65 medial-cap, 0 initial)
stemm	stemmed	V;PST/V;V.PTCP;PST	11	yes	yes	no	common (0/1 medial-cap, 0 initial)
knock	knocking	V;V.PTCP;PRS	36	yes	yes	no	common (16/470 medial-cap, 16 initial)
chopp	chopped	V;PST/V;V.PTCP;PST	5	yes	yes	no	no-census
distill	distilled	V;PST/V;V.PTCP;PST	15	yes	yes	no	common (0/4 medial-cap, 0 initial)
proposition	propositions	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/179 medial-cap, 0 initial)
honor	honors	N;PL/V;PRS;3;SG	29	yes	yes	no	common (91/742 medial-cap, 8 initial)
sport	sporting	V;V.PTCP;PRS	32	yes	yes	no	common (1/148 medial-cap, 1 initial)
deviation	deviations	N;PL/V;PRS;3;SG	8	yes	yes	no	common (0/33 medial-cap, 0 initial)
division	divisions	N;PL/V;PRS;3;SG	94	yes	yes	no	common (126/602 medial-cap, 5 initial)
adulterer	adulterers	N;PL/V;PRS;3;SG	11	yes	yes	no	common (0/5 medial-cap, 0 initial)
reuter	reuters	N;PL/V;PRS;3;SG	530	yes	yes	no	proper (29/30 medial-cap, 52 initial)
association	associations	N;PL/V;PRS;3;SG	76	yes	yes	no	proper (432/702 medial-cap, 4 initial)
marco	marcos	N;PL/V;PRS;3;SG	10	yes	yes	no	proper (5/5 medial-cap, 1 initial)
grind	grinding	V;V.PTCP;PRS	24	yes	yes	no	common (4/52 medial-cap, 1 initial)
arb	arbed	V;PST/V;V.PTCP;PST	6	yes	yes	no	proper (3/3 medial-cap, 0 initial)
border	bordered	V;PST/V;V.PTCP;PST	7	yes	yes	no	common (10/261 medial-cap, 0 initial)
restrict	restricted	V;PST/V;V.PTCP;PST	70	yes	yes	no	common (1/42 medial-cap, 1 initial)
friday	fridays	N;PL/V;PRS;3;SG	5	yes	yes	no	proper (513/517 medial-cap, 8 initial)
airport	airports	N;PL/V;PRS;3;SG	16	yes	yes	no	common (15/46 medial-cap, 0 initial)
skipp	skipping	V;V.PTCP;PRS	11	yes	yes	no	proper (4/4 medial-cap, 0 initial)
distillate	distillates	N;PL/V;PRS;3;SG	9	yes	yes	no	proper (34/46 medial-cap, 1 initial)
preacher	preachers	N;PL/V;PRS;3;SG	5	yes	yes	no	common (5/72 medial-cap, 0 initial)
installment	installments	N;PL/V;PRS;3;SG	5	yes	yes	no	common (0/9 medial-cap, 0 initial)
broaden	broadening	V;V.PTCP;PRS	21	yes	yes	no	common (1/18 medial-cap, 0 initial)
govern	governed	V;PST/V;V.PTCP;PST	41	yes	yes	no	common (3/85 medial-cap, 0 initial)
manifestation	manifestations	N;PL/V;PRS;3;SG	9	yes	yes	no	common (0/45 medial-cap, 0 initial)
omission	omissions	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/39 medial-cap, 1 initial)
seed	seeds	N;PL/V;PRS;3;SG	96	yes	yes	no	common (15/520 medial-cap, 2 initial)
exist	exists	N;PL/V;PRS;3;SG	92	yes	yes	no	common (0/373 medial-cap, 1 initial)
labor	labored	V;PST/V;V.PTCP;PST	9	yes	yes	no	common (46/371 medial-cap, 9 initial)
doubt	doubted	V;PST/V;V.PTCP;PST	68	yes	yes	no	common (10/3339 medial-cap, 7 initial)
divert	diverted	V;PST/V;V.PTCP;PST	23	yes	yes	no	common (0/79 medial-cap, 0 initial)
exert	exerting	V;V.PTCP;PRS	7	yes	yes	no	common (0/102 medial-cap, 1 initial)
tri	tried	V;PST/V;V.PTCP;PST	493	yes	yes	no	dual (5/11 medial-cap, 2 initial)
athenian	athenians	N;PL/V;PRS;3;SG	6	yes	yes	no	proper (8/8 medial-cap, 1 initial)
irv	irving	V;V.PTCP;PRS	40	yes	yes	no	proper (2/2 medial-cap, 0 initial)
cent	cents	N;PL/V;PRS;3;SG	452	yes	yes	no	common (4/387 medial-cap, 2 initial)
fear	fears	N;PL/V;PRS;3;SG	210	yes	yes	no	common (62/2665 medial-cap, 37 initial)
divestiture	divestitures	N;PL/V;PRS;3;SG	11	yes	yes	no	common (1/18 medial-cap, 0 initial)
succumb	succumbed	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (0/7 medial-cap, 0 initial)
ramm	rammed	V;PST/V;V.PTCP;PST	7	yes	yes	no	no-census
attend	attending	V;V.PTCP;PRS	90	yes	yes	no	common (12/587 medial-cap, 14 initial)
slander	slanders	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/64 medial-cap, 0 initial)
pett	petted	V;PST/V;V.PTCP;PST	5	yes	yes	no	no-census
murmur	murmurs	N;PL/V;PRS;3;SG	8	yes	yes	no	common (1/192 medial-cap, 0 initial)
power	powered	V;PST/V;V.PTCP;PST	17	yes	yes	no	common (152/3015 medial-cap, 14 initial)
camp	camping	V;V.PTCP;PRS	26	yes	yes	no	common (15/452 medial-cap, 1 initial)
ore	ores	N;PL/V;PRS;3;SG	17	yes	yes	no	common (32/186 medial-cap, 2 initial)
powder	powders	N;PL/V;PRS;3;SG	8	yes	yes	no	common (7/265 medial-cap, 2 initial)
freedom	freedoms	N;PL/V;PRS;3;SG	15	yes	yes	no	common (45/689 medial-cap, 19 initial)
recrimination	recriminations	N;PL/V;PRS;3;SG	5	yes	yes	no	common (0/8 medial-cap, 0 initial)
valu	valuing	V;V.PTCP;PRS	14	yes	yes	no	proper (2/2 medial-cap, 0 initial)
clapp	clapped	V;PST/V;V.PTCP;PST	19	yes	yes	no	proper (37/39 medial-cap, 2 initial)
chasten	chastened	V;PST/V;V.PTCP;PST	10	yes	yes	no	common (0/6 medial-cap, 1 initial)
inherit	inherited	V;PST/V;V.PTCP;PST	32	yes	yes	no	common (0/107 medial-cap, 0 initial)
worsen	worsening	V;V.PTCP;PRS	6	yes	yes	no	common (1/15 medial-cap, 0 initial)
discern	discerning	V;V.PTCP;PRS	11	yes	yes	no	common (1/121 medial-cap, 0 initial)
schill	schilling	V;V.PTCP;PRS	8	yes	yes	no	no-census
anyway	anyways	N;PL/V;PRS;3;SG	11	yes	yes	no	common (6/173 medial-cap, 38 initial)
sweep	sweeping	V;V.PTCP;PRS	63	yes	yes	no	common (2/182 medial-cap, 0 initial)
vapor	vapors	N;PL/V;PRS;3;SG	5	yes	yes	no	common (0/48 medial-cap, 1 initial)
employer	employers	N;PL/V;PRS;3;SG	123	yes	yes	no	common (0/149 medial-cap, 1 initial)
idiom	idioms	N;PL/V;PRS;3;SG	6	yes	yes	no	common (0/16 medial-cap, 0 initial)
odour	odours	N;PL/V;PRS;3;SG	15	yes	yes	no	common (0/48 medial-cap, 0 initial)
dislocation	dislocations	N;PL/V;PRS;3;SG	5	yes	yes	no	common (0/11 medial-cap, 0 initial)
consider	considered	V;PST/V;V.PTCP;PST	435	yes	yes	no	common (22/1523 medial-cap, 115 initial)
popp	popping	V;V.PTCP;PRS	11	yes	yes	no	no-census
intention	intentions	N;PL/V;PRS;3;SG	93	yes	yes	no	common (0/814 medial-cap, 0 initial)
consultation	consultations	N;PL/V;PRS;3;SG	36	yes	yes	no	common (4/129 medial-cap, 2 initial)
manner	mannered	V;PST/V;V.PTCP;PST	5	yes	yes	no	common (5/4353 medial-cap, 0 initial)
patt	patted	V;PST/V;V.PTCP;PST	11	yes	yes	no	no-census
charle	charles	N;PL/V;PRS;3;SG	324	yes	yes	no	no-census
error	errors	N;PL/V;PRS;3;SG	88	yes	yes	no	common (5/277 medial-cap, 3 initial)
cedar	cedars	N;PL/V;PRS;3;SG	34	yes	yes	no	common (3/81 medial-cap, 0 initial)
ashe	ashes	N;PL/V;PRS;3;SG	91	yes	yes	no	no-census
represent	represented	V;PST/V;V.PTCP;PST	130	yes	yes	no	common (0/251 medial-cap, 0 initial)
earning	earnings	N;PL/V;PRS;3;SG	1118	yes	yes	no	common (2/77 medial-cap, 0 initial)
version	versions	N;PL/V;PRS;3;SG	20	yes	yes	no	common (12/117 medial-cap, 0 initial)
timber	timbers	N;PL/V;PRS;3;SG	13	yes	yes	no	common (3/177 medial-cap, 3 initial)
catapult	catapulted	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (0/2 medial-cap, 0 initial)
draft	drafting	V;V.PTCP;PRS	28	yes	yes	no	common (10/100 medial-cap, 0 initial)
roger	rogers	N;PL/V;PRS;3;SG	24	yes	yes	yes	proper (1037/1037 medial-cap, 229 initial)
confront	confronted	V;PST/V;V.PTCP;PST	51	yes	yes	no	common (3/44 medial-cap, 1 initial)
infection	infections	N;PL/V;PRS;3;SG	10	yes	yes	no	common (1/49 medial-cap, 0 initial)
writing	writings	N;PL/V;PRS;3;SG	18	yes	yes	no	common (6/1220 medial-cap, 14 initial)
warp	warped	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (0/45 medial-cap, 0 initial)
regard	regards	N;PL/V;PRS;3;SG	30	yes	yes	no	common (5/1316 medial-cap, 4 initial)
retain	retains	N;PL/V;PRS;3;SG	21	yes	yes	no	common (1/220 medial-cap, 0 initial)
risk	risking	V;V.PTCP;PRS	15	yes	yes	no	common (7/576 medial-cap, 2 initial)
provision	provisions	N;PL/V;PRS;3;SG	229	yes	yes	no	common (7/349 medial-cap, 5 initial)
avert	averted	V;PST/V;V.PTCP;PST	15	yes	yes	no	common (5/51 medial-cap, 0 initial)
drown	drowning	V;V.PTCP;PRS	10	yes	yes	no	common (0/94 medial-cap, 2 initial)
killer	killers	N;PL/V;PRS;3;SG	10	yes	yes	no	common (8/37 medial-cap, 1 initial)
flounder	floundered	V;PST/V;V.PTCP;PST	7	yes	yes	no	common (0/6 medial-cap, 0 initial)
hazard	hazards	N;PL/V;PRS;3;SG	27	yes	yes	no	common (3/114 medial-cap, 0 initial)
direction	directions	N;PL/V;PRS;3;SG	75	yes	yes	no	common (5/1278 medial-cap, 0 initial)
expand	expanding	V;V.PTCP;PRS	142	yes	yes	no	common (10/205 medial-cap, 0 initial)
election	elections	N;PL/V;PRS;3;SG	99	yes	yes	no	common (18/287 medial-cap, 3 initial)
lipp	lipped	V;PST/V;V.PTCP;PST	5	yes	yes	no	common (0/6 medial-cap, 0 initial)
honor	honored	V;PST/V;V.PTCP;PST	59	yes	yes	no	common (91/742 medial-cap, 8 initial)
lessen	lessened	V;PST/V;V.PTCP;PST	24	yes	yes	no	common (4/91 medial-cap, 0 initial)
adorn	adorned	V;PST/V;V.PTCP;PST	24	yes	yes	no	common (0/35 medial-cap, 0 initial)
pretend	pretending	V;V.PTCP;PRS	27	yes	yes	no	common (0/268 medial-cap, 1 initial)
pair	pairs	N;PL/V;PRS;3;SG	30	yes	yes	no	common (5/866 medial-cap, 0 initial)
blacken	blackened	V;PST/V;V.PTCP;PST	10	yes	yes	no	common (0/13 medial-cap, 0 initial)
support	supports	N;PL/V;PRS;3;SG	85	yes	yes	no	common (26/1090 medial-cap, 2 initial)
reaffirm	reaffirms	N;PL/V;PRS;3;SG	11	yes	yes	no	common (0/7 medial-cap, 0 initial)
air	airs	N;PL/V;PRS;3;SG	31	yes	yes	no	common (186/4255 medial-cap, 16 initial)
argument	arguments	N;PL/V;PRS;3;SG	53	yes	yes	no	common (5/380 medial-cap, 2 initial)
depart	departing	V;V.PTCP;PRS	43	yes	yes	no	common (16/327 medial-cap, 7 initial)
congregation	congregations	N;PL/V;PRS;3;SG	24	yes	yes	no	common (7/487 medial-cap, 2 initial)
portray	portrayed	V;PST/V;V.PTCP;PST	8	yes	yes	no	common (0/12 medial-cap, 0 initial)
gripp	gripped	V;PST/V;V.PTCP;PST	19	yes	yes	no	proper (1/1 medial-cap, 0 initial)
adapt	adapted	V;PST/V;V.PTCP;PST	28	yes	yes	no	common (1/38 medial-cap, 0 initial)
calm	calmed	V;PST/V;V.PTCP;PST	9	yes	yes	no	common (10/933 medial-cap, 20 initial)
korean	koreans	N;PL/V;PRS;3;SG	11	yes	yes	no	proper (66/66 medial-cap, 0 initial)
remind	reminding	V;V.PTCP;PRS	15	yes	yes	no	common (1/246 medial-cap, 1 initial)
import	imported	V;PST/V;V.PTCP;PST	161	yes	yes	no	common (47/472 medial-cap, 6 initial)
attest	attested	V;PST/V;V.PTCP;PST	6	yes	yes	no	common (1/10 medial-cap, 0 initial)
insist	insisting	V;V.PTCP;PRS	18	yes	yes	no	common (0/270 medial-cap, 0 initial)
relation	relations	N;PL/V;PRS;3;SG	305	yes	yes	no	common (3/634 medial-cap, 1 initial)
fear	feared	V;PST/V;V.PTCP;PST	177	yes	yes	no	common (62/2665 medial-cap, 37 initial)
tend	tended	V;PST/V;V.PTCP;PST	39	yes	yes	no	common (0/155 medial-cap, 1 initial)
rapp	rapped	V;PST/V;V.PTCP;PST	8	yes	yes	no	proper (11/11 medial-cap, 0 initial)
oversea	overseas	N;PL/V;PRS;3;SG	207	yes	yes	no	proper (5/6 medial-cap, 1 initial)
absence	absences	N;PL/V;PRS;3;SG	5	yes	yes	no	common (6/805 medial-cap, 8 initial)
strengthen	strengthening	V;V.PTCP;PRS	74	yes	yes	no	common (6/162 medial-cap, 1 initial)
doom	doomed	V;PST/V;V.PTCP;PST	31	yes	yes	no	common (5/129 medial-cap, 0 initial)
heart	hearted	V;PST/V;V.PTCP;PST	68	yes	yes	no	common (133/7689 medial-cap, 8 initial)
