'cause	k AH z
bradley's	b r AE d l IY z
bradshaw	b r AE d SH AO
bradstreet	b r AE d s t r IY t
bradway	b r AE d w EY
braer	b r EY r
brafford	b r AE f ER d
bragan	b r EY g AH n
bragger	b r AE g ER
braggiotti	b r AE g IY AO t IY
braham	b r AE h AH m
brainerd	b r EY n ER d
brainstormed	b r EY n s t AO r m d
braised	b r EY z d
brake	b r EY k
brakeman	b r EY k m AH n
brakes	b r EY k s
brakke	b r AE k
bralorne	b r AE l AO r n
braly	b r AA l IY
brambila	b r AA m b IY l AH
bramble	b r AE m b AH l
brambles	b r AE m b AH l z
bramel	b r AE m AH l
bramer	b r EY m ER
brammer	b r AE m ER
branagan	b r AE n AH g AE n
branan	b r EY n AH n
brancato	b r AA n k AA t OW
branche	b r AE n CH
brande	b r AE n d
brandeberry	b r AE n d b EH r IY
branded	b r AE n d IH d
brandes	b r AE n d z
brandi	b r AE n d IY
brandish	b r AE n d IH SH
brandishing	b r AE n d IH SH IH NG
brandnew	b r AE n d n UW
brando	b r AE n d OW
brands'	b r AE n d z
brands's	b r AE n d z IH z
brandtner	b r AE n t n ER
brank	b r AE NG k
brank's	b r AE NG k s
branna	b r AE n AH
brannock	b r AE n AH k
branscomb	b r AE n s k AH m
branson's	b r AE n s AH n z
branstad	b r AE n s t AE d
brantly	b r AE n t l IY
branum	b r AE n AH m
brasch	b r AE SH
brase	b r EY z
braselton	b r AH s EH l t AH n
brassy	b r AE s IY
braswell	b r AE s w EH l
bratten	b r AE t AH n
brattle	b r AE t AH l
bratton	b r AE t AH n
bratwurst	b r AE t w ER s t
brauch	b r AO CH
brauer	b r AW ER
braughton	b r AO t AH n
braunstein	b r AO n s t IY n
brautigams	b r AO t IH g AE m z
braverman	b r EY v ER m AH n
bravest	b r EY v AH s t
braving	b r EY v IH NG
brawn	b r AO n
brawner	b r AO n ER
brayton	b r EY t AH n
braz	b r AE z
brazenness	b r EY z AH n AH s
braziel	b r AH z IY l
brazilian	b r AH z IH l j AH n
brazzaville's	b r AE z AH v IH l z
brcko's	b ER CH k OW z
breakers	b r EY k ER z
breakeven	b r EY k IY v AH n
breakfast	b r EH k f AH s t
breakfasts	b r EH k f AH s t s
breaking	b r EY k IH NG
breakout	b r EY k AW t
breastfeeding	b r EH s t f IY d IH NG
breastfeeding's	b r EH s t f IY d IH NG z
breastfeeds	b r EH s t f IY d z
breaux(2)	b r UW
brebach	b r EH b AH k
brecheen	b r EH k IY n
brecheisen	b r EH k AY s AH n
brecker	b r EH k ER
breece	b r IY s
breedlove	b r IY d l AH v
breen	b r IY n
breezy	b r IY z IY
breighton	b r AY t AH n
breisch	b r AY SH
breit	b r IY t
brenda's	b r EH n d AH z
brendel	b r EH n d AH l
brendsel	b r EH n d s AH l
brennecke	b r EH n IH k
brenneke	b r EH n AH k IY
brentano	b r EH n t AA n OW
bresca	b r EH s k AH
bresee	b r IH s IY
bresette	b r IH s EH t
breshears	b r EH SH IY r z
breslin	b r EH s l IH n
brester	b r EH s t ER
brethen	b r IY TH AH n
brethren	b r EH DH r AH n
bretthauer	b r EH TH AW ER
brettschneider(2)	b r EH t s n AY d ER
bretz	b r EH t s
brew	b r UW
breyer's	b r EY ER z
brezinski	b r IH z IH n s k IY
briana	b r IY AE n AH
briant	b r AY AH n t
bricco	b r IH k OW
brickbat	b r IH k b AE t
brickbats	b r IH k b AE t s
bricklayers	b r IH k l EY ER z
brickle	b r IH k AH l
bricklin	b r IH k l IH n
brickner	b r IH k n ER
bride's	b r AY d z
bridesmaid	b r AY d z m EY d
bridgeforth	b r IH JH f AO r TH
bridgestone	b r IH JH s t OW n
bridgetown	b r IH JH t AW n
brieant	b r IY AH n t
brief	b r IY f
briefer	b r IY f ER
brier	b r AY ER
briere	b r IH r
brierley	b r AY ER l IY
brierly	b r AY ER l IY
brietzke	b r IY t s k IY
brigade(2)	b r IH g EY d
brigham	b r IH g AH m
brightbill	b r AY t b IH l
brightening(2)	b r AY t n IH NG
brightman	b r AY t m AH n
brigitte	b r IH JH IH t
brignac	b r IH g n AH k
brilliant	b r IH l j AH n t
brimmed	b r IH m d
brimmer	b r IH m ER
brinegar	b r IH n IH g ER
bringle	b r IH NG g AH l
brington	b r IH NG t AH n
brink's	b r IH NG k s
brinkley's	b r IH NG k l IY z
brinkmanship	b r IH NG k m AH n SH IH p
brinkmeyer	b r IH NG k m AY ER
brinser	b r IH n s ER
briody	b r AY AH d IY
brisbin	b r IH z b IH n
brisendine	b r IH s IH n d AY n
briski	b r IH s k IY
brissey	b r IH s IY
brisson	b r IH s AH n
bristles	b r IH s AH l z
bristow	b r IH s t OW
brit	b r IH t
britain	b r IH t AH n
britannica	b r IH t AE n IH k AH
british	b r IH t IH SH
brittler	b r IH t l ER
britts	b r IH t s
britz	b r IH t s
brixius	b r AY k s IY IH s
brizzi	b r IH z IY
bro's	b r OW z
broach	b r OW CH
broad	b r AO d
broadacre	b r AO d EY k ER
broadaway	b r AO d AH w EY
broadcasters'	b r AO d k AE s t ER z
broaden	b r AO d AH n
broadened	b r AO d AH n d
broader	b r AO d ER
broadnax	b r AO d n AE k s
broadside	b r AO d s AY d
broady	b r AO d IY
brobeck	b r OW b EH k
brocato	b r OW k AA t OW
broccoli(2)	b r AA k l IY
broce	b r OW s
brockbank	b r AA k b AH NG k
brocker	b r AA k ER
brockie	b r AA k IY
brocklehurst	b r AA k AH l h ER s t
brockmeier	b r AA k m AY ER
brockway	b r AA k w EY
broda	b r OW d AH
broderick's	b r AA d ER IH k z
brody	b r OW d IY
brodzinski	b r AH JH IH n s k IY
broeker	b r OW k ER
broiling	b r OY l IH NG
brokaw	b r OW k AO
broken-tooth	b r OW k AH n t UW TH
broken-winded	b r OW k AH n w IH n d IH d
brokerages	b r OW k ER IH JH IH z
brokers'	b r OW k ER z
brokini	b r AH k IY n IY
bromberg	b r AA m b ER g
bromide	b r OW m AY d
bromine	b r OW m IY n
bromley	b r AA m l IY
bronfman	b r AA n f m AH n
bronner	b r AA n ER
bronson	b r AA n s AH n
bronstein(2)	b r AA n s t AY n
bronston	b r AA n s t AH n
brood	b r UW d
brook	b r UH k
brookehill	b r UH k h IH l
brookfield	b r UH k f IY l d
brooklyn's	b r UH k l AH n z
brooklyn's(2)	b r UH k l IH n z
brookner's	b r UH k n ER z
brooks's	b r UH k s IH z
brookshire	b r UW k SH AY r
brooksville's	b r UH k s v IH l z
brooms	b r UW m z
broomsticks	b r UW m s t IH k s
brosnan	b r AA s n AH n
brossette	b r AH s EH t
brostrom	b r AA s t r AH m
broten	b r OW t AH n
brotherly	b r AH DH ER l IY
broucek	b r UW CH EH k
broudy	b r AW d IY
broughton	b r AO t AH n
brouhaha	b r UW h AA h AA
broun	b r UW n
brouse	b r AW s
browbeat	b r AW b IY t
brown	b r AW n
browned	b r AW n d
brownies	b r AW n IY z
brownish	b r AW n IH SH
brownmiller	b r AW n m IH l ER
brownrigg	b r AW n r IH g
browns'	b r AW n z
brownstein(2)	b r AW n s t IY n
broxson	b r AA k s AH n
broz	b r AA z
bruce	b r UW s
bruck's	b r AH k s
brucks	b r AH k s
bruegge	b r UW g AH
bruegger	b r UW g ER
bruegger's	b r UW g ER z
brugh	b r AH
bruin's	b r UW IH n z
bruise	b r UW z
brumbach	b r AH m b AA k
brumett	b r AH m IH t
brumm	b r AH m
brun	b r AH n
brundidge	b r AH n d IH JH
brundige	b r AH n d IH g
brundtland	b r AH n t l AH n d
bruner	b r UW n ER
brunette	b r UW n EH t
brungard	b r AH NG g ER d
bruni	b r UW n IY
bruning	b r UW n IH NG
brunken	b r AH NG k AH n
brunkow	b r AH NG k OW
bruno's	b r UW n OW z
brunsman	b r AH n s m AH n
bruschi	b r UW s k IY
brusett	b r UH s EH t
brusett(2)	b r UW s EH t
brusette	b r UW s EH t
brushed	b r AH SH t
bruster	b r AH s t ER
brutalities	b r UW t AE l AH t IY z
brutalized	b r UW t AH l AY z d
brutalizes	b r UW t AH l AY z IH z
brutus	b r UW t AH s
bryan	b r AY AH n
brydges	b r IH JH IH z
bryk	b r IH k
bryn	b r IH n
brzoska	b r OW s k AH
bs	b IY EH s
bua(2)	b IY j UW EY
bubbling(2)	b AH b l IH NG
bubier	b j UW b IY ER
bubinga	b AH b IH NG g AH
bubka	b AH b k AH
buboltz	b j UW b OW l t s
buc	b AH k
bucaro	b UW k AA r OW
buccaneers	b AH k AH n IY r z
buccino	b UW CH IY n OW
buchalter	b AH k AH l t ER
buchanans	b j UW k AE n AH n z
buchannan	b j UW k AE n AH n
buchheit	b AH k h AY t
buchi	b AH CH IY
buchi's(2)	b UW CH IY z
buchmann	b AH k m AH n
buchmiller	b AH k m AH l ER
bucholtz(2)	b UH k OW l t s
buckland	b AH k l AH n d
buckling	b AH k l IH NG
buckminster	b AH k m IH n s t ER
bucks	b AH k s
buckskin	b AH k s k IH n
budai	b UW d AA IY
budapest(2)	b UW d AH p EH SH t
budd	b AH d
budden	b AH d AH n
buddenhagen	b AH d IH n h AH g AH n
buddha	b UW d AH
buddies	b AH d IY z
buddy's	b AH d IY z
budged	b AH JH d
budget's	b AH JH IH t s
budging	b AH JH IH NG
budiman	b j UW t IH m AH n
budlong	b AH d l AO NG
budny	b AH d n IY
budrow	b AH d r OW
budyonnovsk	b UW d j AH n AA v s k
buechler(2)	b j UW k l ER
buege	b UW JH
buehner	b j UW n ER
buehrer	b j UW h ER
buehrle	b j UW r AH l
bueker	b j UW k ER
buell	b j UW AH l
buenger	b j UW n JH ER
buenrostro	b w EH n r OW s t r OW
buerger	b j UW r g ER
buerkle	b j UW r k AH l
buff	b AH f
buffa	b AH f AH
buffer	b AH f ER
buffered	b AH f ER d
bufferin	b AH f ER IH n
buffet	b AH f AH t
buffeting	b AH f EY IH NG
buffo	b UW f OW
buffy	b AH f IY
bugaboo	b AH g AH b UW
bugay	b j UW g EY
bugbee	b AH g b IY
bugg	b AH g
bugge	b AH g
bugging	b AH g IH NG
buggy	b AH g IY
bugles	b j UW g AH l z
buhler	b UW l ER
buhr	b j UH r
buice(2)	b w IY s
building	b IH l d IH NG
building's	b IH l d IH NG z
built	b IH l t
buitrago	b IH t r AA g OW
bukar	b j UW k AA r
bukavu	b UW k AA v UW
bukowski	b j UW k AO f s k IY
bulb	b AH l b
bulbous	b AH l b AH s
bulen	b AH l AH n
bulent	b j UW l AH n t
bulfinch's	b UH l f IH n CH IH z
bulgarians	b AH l g EH r IY AH n z
bulge	b AH l JH
bulger	b AH l g ER
bulk	b AH l k
bulkley	b AH l k l IY
bullfight	b UH l f AY t
bullfighting	b UH l f AY t IH NG
bullhorn	b UH l h AO r n
bullington	b UH l IH NG t AH n
bullins	b UH l IH n z
bulls	b UH l z
bulls'	b UH l z
bulluck	b UH l AH k
bulson	b UH l s AH n
bumped	b AH m p t
bumpers	b AH m p ER z
bumpersticker	b AH m p ER s t IH k ER
bumpus	b AH m p AH s
bunda	b AH n d AH
bundespost	b UH n d IH s p OW s t
bundles	b AH n d AH l z
bundling	b AH n d AH l IH NG
bunge	b AH n JH
bungled	b AH NG g AH l d
bungling	b AH NG g AH l IH NG
bunks	b AH NG k s
bunnies	b AH n IY z
bunny	b AH n IY
bunte	b AH n t
bunting	b AH n t IH NG
buntstrock	b AH n t s t r AA k
buntz	b AH n t s
buonicontis	b w AA n IH k AA n t IY z
buonocore	b w OW n OW k AO r IY
buonomo	b w OW n OW m OW
buoyant	b OY AH n t
bupp	b AH p
burak	b j UW r AH k
burandt	b j UW r AH n t
burba	b ER b AH
burbank	b ER b AE NG k
burbidge	b ER b IH JH
burcham	b ER SH AE m
burchfield	b ER CH f IY l d
burdened	b ER d AH n d
burdens	b ER d AH n z
burdge	b ER JH
burdi	b UH r d IY
burditt	b ER d IH t
bureau's	b j UH r OW z
bureaucratic	b j UH r AH k r AE t IH k
bureaus	b j UH r OW z
burfeind	b ER f AY n d
burgeoning	b ER JH AH n IH NG
burget	b ER g EH t
burgett	b ER JH IH t
burggraf	b ER g r AH f
burglaries	b ER g l ER IY z
burglarized	b ER g l ER AY z d
burglary	b ER g l ER IY
burgomaster's	b ER g AH m AE s t ER z
burgomasters	b ER g AH m AE s t ER z
burgundian	b ER g AH n d IY AH n
burial	b EH r IY AH l
burich	b EH r IH k
buried	b EH r IY d
buries	b EH r IY z
burk	b ER k
burkart	b ER k AA r t
burkett	b ER k IH t
burkhalter	b ER k h AH l t ER
burkhard	b ER k h ER d
burkhead	b ER k h EH d
burkman	b ER k m AH n
burks	b ER k s
burleson	b ER l IH s AH n
burlingame	b ER l IH NG g EY m
burma	b ER m AH
burmans	b ER m AH n z
burmaster	b ER m AE s t ER
burnable	b ER n AH b AH l
burndy	b ER n d IY
burnham(2)	b ER n h AE m
burnout	b ER n AW t
burnsed	b ER n z d
burnstein(2)	b ER n s t IY n
burnsworth	b ER n z w ER TH
burp	b ER p
burridge	b AO r IH JH
burris	b ER IH s
burroughs(2)	b ER OW z
burrowers	b ER OW ER z
burrowing	b ER OW IH NG
burruss	b UH r AH s
burry	b ER IY
burse	b ER s
burundi's	b ER AH n d IY z
bury's	b EH r IY z
bus	b AH s
busam	b IH s AH m
busboom	b AH s b UW m
busch's	b UH SH IH z
busche	b AH SH
buseman	b IH s m AH n
busenbark	b IH s IH n b AA r k
bush's	b UH SH IH z
bushkin	b UH SH k IH n
bushwhack	b UH SH w AE k
busily	b IH z AH l IY
businessmen	b IH z n IH s m EH n
busk	b AH s k
buskirk	b AH s k ER k
buslease	b AH s l IY s
buspar	b AH s p ER
bussard	b AH s ER d
bussen	b AH s AH n
busting	b AH s t IH NG
bustle	b AH s AH l
busty	b AH s t IY
busulaki	b j UW s AH l AE k IY
butala	b UW t AA l AH
butchart	b UH CH ER t
butcher's	b UH CH ER z
butchering	b UH CH ER IH NG
butchko	b AH CH k OW
buterbaugh	b j UW t ER b AW
butkiewicz	b AH t k AO w IH CH
butler	b AH t l ER
butler's	b AH t l ER z
butman	b AH t m AH n
butorac	b j UW t AO r AH k
butterball	b AH t ER b AO l
butterbaugh	b AH t ER b AW
buttering	b AH t ER IH NG
buttitta	b UW t IY t AH
buttocks	b AH t AH k s
buttress	b AH t r AH s
buttressing	b AH t r AH s IH NG
buttrum	b AH t r AH m
butts	b AH t s
butulesi	b UW t AH l EY z IY
butyl	b j UW t AH l
buy	b AY
buyer's	b AY ER z
buzz	b AH z
buzzword	b AH z w ER d
byard	b j AA r d
byers	b AY ER z
byland	b AY l AH n d
byler	b AY l ER
bylsma	b IH l s m AH
bylund	b IH l AH n d
bynum	b IH n AH m
bypass	b AY p AE s
byproducts	b AY p r AO d AH k t s
byrd	b ER d
byrom	b AY r AH m
byte	b AY t
byzantine(2)	b IH z AH n t IY n
c's	s IY z
c-span's	s IY s p AE n z
ca(3)	k AA
cab	k AE b
cabana	k AH b AE n AH
cabaniss	k AE b AH n IH s
cabby	k AE b IY
cabe	k EY b
cabello	k AH b EH l OW
cabin	k AE b AH n
cabinetry	k AE b n AH t r IY
cable's	k EY b AH l z
cabled	k EY b AH l d
cabler(2)	k EY b l ER
cabrall	k AH b r AA l
cabranes	k AH b r EY n z
cabriolet(2)	k AE b r IY OW l EH t
cabs	k AE b z
caccamise	k AA k AA m IH s
caccamo	k AA k AA m OW
cache	k AE SH
cached	k AE SH t
caches(2)	k AE SH EY z
cachet	k AE SH EY
cacld(2)	s IY EY s IY EH l d IY
cadby	k AE d b IY
caddell	k AE d AH l
caddyshack	k AE d IY SH AE k
cadena	k AH d IY n AH
cadences	k EY d AH n s IH z
cadieux	k AE d IY OW
cadillac	k AE d AH l AE k
cadillacs	k AE d AH l AE k s
cadre	k AE d r IY
caen's	k AE n z
caesarea	k EY s ER IY AH
caesarean	k EY s ER IY n
caesars'	s IY z ER z
caetano	k AH t AA n OW
cafeterias	k AE f AH t IH r IY AH z
caffrey	k AE f r IY
caftan	k AE f t AE n
cagney	k AE g n IY
caguas	k AA g w AA s
caiazzo	k AA j AA z OW
caillouet	k EY l UW t
cain's	k EY n z
caisson(2)	k EH s AH n
caissons	k EY s AH n z
caitlin(2)	k AE t l IY n
cajole	k AH JH OW l
cal	k AE l
calabasas	k AE l AH b AA s AH s
calamari	k AA l AA m AA r IY
calamitous	k AH l AE m AH t AH s
calculations	k AE l k j AH l EY SH AH n z
calderone	k AA l d ER OW n IY
calebs	k EY l AH b z
caleca	k AA l EH k AH
calf's	k AE f s
calgene	k AE l JH IY n
calgon	k AE l g AO n
calhoon	k AE l h UW n
calibrate	k AE l AH b r EY t
calibrated	k AE l AH b r EY t AH d
calico	k AE l AH k OW
california's	k AE l IH f AO r n j AH z
calipers	k AE l AH p ER z
caliph	k AE l AH f
calise	k AA l AY z
calista	k AH l IH s t AH
calite	k AE l AY t
calk	k AO k
call's	k AO l z
callace	k AE l AH s
callaway's	k AO l AH w EY z
calle	k EY l
callebs	k EY l EH b z
caller's	k AO l ER z
callier	k AE l IY ER
calliopes	k AH l AY AH p IY z
callis	k AE l IH s
calm(2)	k AA l m
calmaquip	k AE l m AH k w IH p
calmart's	k AA l m AA r t s
calmart(2)	k AE l m AA r t
calmly	k AA m l IY
calms	k AA m z
caloric	k AH l AO r IH k
calpers's	k AE l p ER z IH z
caltabiano	k AA l t AA b IY AA n OW
calveras	k AE l v EH r AH s
calvert	k AE l v ER t
calving	k AE v IH NG
calvinist(2)	k AE l v IH n IH s t
camaguey	k AE m AH g EY
camaraderie	k AA m ER AA d ER IY
camargo	k AA m AA r g OW
camaro	k AH m EH r OW
camaros	k AH m AA r OW s
cambron	k AE m b r AH n
camburn	k AE m b ER n
camby	k AE m b IY
camco	k AE m k OW
cameramen	k AE m ER AH m EH n
camero	k AH m EH r OW
camille	k AH m IY l
caminiti	k AA m IY n IY t IY
cammisa	k AH m IY s AH
camouflaged	k AE m AH f l AA ZH d
campaign's	k AE m p EY n z
campaigners	k AE m p EY n ER z
campaigning	k AE m p EY n IH NG
campanelli	k AA m p AA n EH l IY
campau	k AA m p AW
campbell	k AE m b AH l
campesinos	k AE m p EH s IY n OW s
camping	k AE m p IH NG
campisi	k AA m p IY s IY
camshafts	k AE m SH AE f t s
can	k AE n
can(2)	k AH n
cana	k AE n AH
canaanite	k EY n AH n AY t
canadair	k AE n AH d EH r
canaday	k AE n AH d EY
canadians	k AH n EY d IY AH n z
canady	k AH n AA d IY
canale	k AA n AA l IY
cananea	k AE n AH n IY AH
canapes	k AA n AH p EY z
canberra	k AE n b EH r AH
cancellations	k AE n s AH l EY SH AH n z
cancelling(2)	k AE n s l IH NG
cancer	k AE n s ER
cancer's	k AE n s ER z
cancers	k AE n s ER z
cancino	k AA n CH IY n OW
cancom	k AE NG k AH m
cancun(2)	k AA NG k UW n
candid	k AE n d AH d
candido	k AE n d IY d OW
candie	k AE n d IY
candiotti	k AE n d IY AA t IY
candiotti's	k AE n d IY AA t IY z
candlemaker	k AE n d AH l m EY k ER
candor	k AE n d ER
cane-grass	k EY n g r AE s
caned	k EY n d
canes	k EY n z
canfor's	k AE n f ER z
cangelosi	k AA NG g EH l OW s IY
cangemi	k AA NG g EH m IY
canham	k AE n h AH m
caning	k EY n IH NG
canino	k AA n IY n OW
canion	k AE n j AH n
canisters(2)	k AE n IH s t ER z
canned	k AE n d
cannelton	k AE n AH l t AH n
canney	k AE n IY
cannibalize	k AE n AH b AH l AY z
canning	k AE n IH NG
cannondale	k AE n AH n d EY l
canoga	k AH n OW g AH
canopy	k AE n AH p IY
canova	k AA n OW v AH
cant	k AE n t
cantaloupes	k AE n t AH l OW p s
canteen	k AE n t IY n
canteens	k AE n t IY n z
cantel	k AE n t EH l
canterbury's(2)	k AE n ER b EH r IY z
cantero	k AA n t EH r OW
canterra	k AA n t EH r AH
cantonese	k AE n t AH n IY z
cantor's	k AE n t ER z
cantore	k AE n t AO r
canup	k AE n AH p
canvases	k AE n v AH s IH z
canyon	k AE n j AH n
canzoneri	k AA n z OW n EH r IY
capacious	k AH p EY SH AH s
capacity(2)	k AH p AE s IH t IY
capasso	k AA p AA s OW
cape	k EY p
caped	k EY p t
capehart	k EY p h AA r t
capel's	k AE p AH l z
capelli	k AH p EH l IY
caperton	k EY p ER t AH n
capes	k EY p s
capetillo	k AA p EH t IH l OW
capetown	k EY p t AW n
capital(2)	k AE p IH t AH l
capitalized	k AE p IH t AH l AY z d
capitalizes	k AE p AH t AH l AY z IH z
capitulate(2)	k AH p IH CH UW l EY t
capizzi	k AA p IY t s IY
caples	k EY p AH l z
capo	k AA p OW
capobianco	k AA p OW b IY AA n k OW
caponigro	k AA p OW n IY g r OW
capp	k AE p
cappadona	k AA p AA d OW n AH
capping	k AE p IH NG
cappuccio	k AA p UW CH IY OW
cappy's	k AE p IY z
capra	k AE p r AH
capraro	k AA p r AA r OW
capri's(2)	k AH p r IY z
capriati's	k AE p r IY AA t IY z
caprice	k AH p r IY s
caprices	k AH p r IY s AH z
capricorn	k AE p r AH k AO r n
capshaw	k AE p SH AO
capstan	k AE p s t AH n
caption	k AE p SH AH n
captured	k AE p CH ER d
capulet	k AE p UW l EH t
caputi	k AA p UW t IY
caq's	k AE k s
cara'veras	k AA r AH v EH r AH z
caraballo	k AE r AH b AE l OW
carafe	k AH r AE f
caraker	k AE r AH k ER
caramandi	k AE r AH m AA n d IY
caramelized	k EH r AH m AH l AY z d
caravella	k AE r AH v EH l AH
caraveo	k AA r AA v IY OW
carbo	k AA r b OW
carbonara	k AA r b OW n AA r AH
carbons	k AA r b AH n z
carboxylic	k AA r b AO k s IH l IH k
carbs	k AA r b z
carda	k AA r d AH
cardinals	k AA r d AH n AH l z
cardiology	k AA r d IY AA l AH JH IY
cardiopulmonary	k AA r d IY OW p UH l m AH n EH r IY
cardoen	k AA r d OW AH n
cardona	k AA r d OW n AH
cardosi	k AA r d OW s IY
cardozo	k AA r d OW z OW
care	k EH r
cared	k EH r d
careening	k ER IY n IH NG
career	k ER IH r
careering	k ER IH r IH NG
careers	k ER IH r z
carefulness	k EH r f AH l n EH s
carelessly	k EH r l AH s l IY
carelli	k AA r EH l IY
carello	k EH r EH l OW
caremark	k EH r m AA r k
careplus	k EH r p l AH s
caress	k ER EH s
caressed	k ER EH s t
caretaker	k EH r t EY k ER
careunits	k EH r j UW n IH t s
carfora	k AA r f AO r AA
cargal	k AA r g AE l
caricatured	k ER IH k AH CH ER d
caricaturist	k EH r AH k AH CH ER AH s t
caricom's	k EH r IH k AA m z
carignan	k AE r IH g n AH n
caring	k EH r IH NG
carissa	k AA r IY s AH
carjackings	k AA r JH AE k IH NG z
carl's	k AA r l z
carles	k AA r l z
carlin's	k AA r l IH n z
carliner	k AA r l AY n ER
carlino	k AA r l IY n OW
carlisi	k AA r l IY s IY
carlito	k AA r l IY t OW
carload	k AA r l OW d
carlsson	k AA r l s AH n
carlstrom	k AA r l s t r AH m
carlton's	k AA r l t AH n z
carlucci	k AA r l UW CH IY
carlyon	k AA r l IY AA n
carma	k AA r m AA
carmaker's	k AA r m EY k ER z
carmel	k AA r m EH l
carmen	k AA r m AH n
carmical	k AA r m IH k AH l
carmody	k AA r m AH d IY
carmona	k AA r m OW n AA
carnal	k AA r n AH l
carneiro	k AA r n EH r OW
carnell	k AA r n AH l
carnivals	k AA r n AH v AH l z
carns	k AA r n z
carol's	k EH r AH l z
carole	k AE r AH l
caroline	k EH r AH l AY n
carolinian(2)	k EH r AH l IH n IY AH n
carolinians	k EH r AH l IH n IY AH n z
carotenes	k EH r AH t IY n z
carouse	k ER AW z
carpentier	k AA r p AH n t IY ER
carpentry	k AA r p AH n t r IY
carper	k AA r p ER
carpino	k AA r p IY n OW
carra	k AA r AH
carranco	k AA r AA n k OW
carre	k AA r
carreiro	k AA r EH r OW
carrere	k AA r EH r EY
carrey's	k AE r IY z
carriage	k AE r IH JH
carrian's	k AE r IY AH n z
carrie	k EH r IY
carriers's	k AE r IY ER z IH z
carriers(2)	k EH r IY ER z
carrington	k EH r IH NG t AH n
carrington's	k EH r IH NG t AH n z
carrithers	k AE r IH DH ER z
carrollton	k EH r AH l t AH n
carron	k AE r AH n
carrots	k AE r AH t s
carrow	k AE r OW
carruthers	k ER AH DH ER z
cars(2)	k AA z
carswell	k AA r s w EH l
carta	k AA r t AH
carte	k AA r t
cartel	k AA r t EH l
carter's	k AA r t ER z
cartera	k AA r t EH r AH
cartmell	k AA r t m EY l
carton	k AA r t AH n
cartoons	k AA r t UW n z
cartridges	k AA r t r AH JH AH z
carty	k AA r t IY
carvajal	k AA r v AA j AE l
carve	k AA r v
carved	k AA r v d
carvel	k AA r v EH l
carvell(2)	k AA r v EH l
carving	k AA r v IH NG
carwile	k AA r w AY l
cary	k EH r IY
casablanca	k AE s AH b l AE NG k AH
casavant	k AE s AH v AH n t
casazza	k AA s AA t s AH
cascade's	k AE s k EY d z
casebeer(2)	k EY s b IH r
casebier	k AE s IH b IY ER
casein	k EY s IY n
caseload	k EY s l OW d
caseloads	k AE s AH l OW d z
cases	k EY s AH z
caseworkers	k EY s w ER k ER z
caseze's	k AH s IY z IY z
cashed	k AE SH t
cashes	k AE SH IH z
cashier's	k AE SH IH r z
cashless	k AE SH l AH s
cashman	k AE SH m AH n
cashon	k AE SH AH n
cashwell	k AE SH w EH l
casimiro	k AA s IY m IH r OW
casino	k AH s IY n OW
casino's	k AH s IY n OW z
caskets	k AE s k AH t s
caspar	k AE s p ER
caspers	k AE s p ER z
caspian	k AE s p IY AH n
cass	k AE s
cassaday	k AE s AH d EY
cassaro	k AA s AA r OW
cassedy	k AE s IH d IY
casselman	k AE s AH l m AH n
cassese	k AA s EY z IY
cassette	k AH s EH t
cassone	k AA s OW n IY
cassoni	k AH s OW n IY
casstevens	k AE s t IY v AH n z
cast	k AE s t
castagna	k AA s t AA g n AH
castagnola	k AA s t AA g n OW l AH
castaneda	k AA s t AA n EH d AH
castano	k AA s t AA n OW
castaways	k AE s t AH w EY z
castell	k EY s t AH l
castelluccio	k AA s t EH l UW CH IY OW
casten	k AE s t AH n
castillo	k AE s t IY OW
castine	k AA s t IY n IY
castings	k AE s t IH NG z
castle's	k AE s AH l z
castoffs	k AE s t AO f s
castorena	k AA s t AO r n AH
castrates	k AE s t r EY t s
castrations	k AE s t r EY SH AH n z
castronova	k AE s t r OW n OW v AH
casual	k AE ZH AH w AH l
casualty	k AE ZH AH w AH l t IY
cat-o-nine-tails	k AE t OW n AY n t EY l z
catalan	k AE t AH l AH n
catalano	k AA t AA l AA n OW
catalans	k AE t AH l AA n z
catalfamo	k AA t AA l f AA m OW
catalina	k AE t AH l IY n AH
catalog	k AE t AH l AO g
catalogued	k AE t AH l AO g d
cataloguing	k AE t AH l AO g IH NG
catalonia	k AE t AH l OW n j AH
catamount	k AE t AH m AW n t
catania	k AH t EY n j AH
catanzarite	k AH t AE n z ER AY t
catapults	k AE t AH p AH l t s
catatonic	k AE t AH t AA n IH k
catcall	k AE t k AO l
catchall	k AE CH AO l
catches	k AE CH AH z
catching	k AE CH IH NG
catechism	k AE t AH k IH z AH m
categorical	k AE t AH g AA r IH k AH l
categorically	k AE t AH g AA r IH k l IY
categorize	k AE t AH g ER AY z
categorizes	k AE t AH g ER AY z IH z
categorizing	k AE t AH g ER AY z IH NG
catelli	k AH t EH l IY
caterer	k EY t ER ER
catering	k EY t ER IH NG
caterings	k AE t ER IH NG z
caterpillar's	k AE t ER p IH l ER z
caterwaul	k AE t ER w AA l
catharines	k AE TH r IH n z
cathay	k AE TH EY
catherines	k AE TH r IH n z
catherwood	k AE DH ER w UH d
cathmor	k AE TH AH m ER
cathode	k AE TH OW d
cathodes	k AE TH OW d z
catholicism	k AH TH AO l AH s IH z AH m
catholics	k AE TH l IH k s
cathy's	k AE TH IY z
catino	k AA t IY n OW
cation	k AE t AY AH n
catt	k AE t
